[2025-05-02T22:48:59.608+0000] {logging_mixin.py:151} INFO - Changing /opt/airflow/logs/dag_id=statsbomb_full_ingestion/run_id=manual__2025-05-02T22:48:00.634424+00:00/task_id=ingest_events_lineups permission to 509
[2025-05-02T22:48:59.678+0000] {logging_mixin.py:151} INFO - Changing /opt/airflow/logs/dag_id=statsbomb_full_ingestion/run_id=manual__2025-05-02T22:48:00.634424+00:00/task_id=ingest_events_lineups permission to 509
[2025-05-02T22:48:59.740+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: statsbomb_full_ingestion.ingest_events_lineups manual__2025-05-02T22:48:00.634424+00:00 [queued]>
[2025-05-02T22:48:59.759+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: statsbomb_full_ingestion.ingest_events_lineups manual__2025-05-02T22:48:00.634424+00:00 [queued]>
[2025-05-02T22:48:59.761+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2025-05-02T22:48:59.788+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): ingest_events_lineups> on 2025-05-02 22:48:00.634424+00:00
[2025-05-02T22:48:59.796+0000] {standard_task_runner.py:57} INFO - Started process 1498 to run task
[2025-05-02T22:48:59.802+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'statsbomb_full_ingestion', 'ingest_events_lineups', 'manual__2025-05-02T22:48:00.634424+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/statsbomb_ingestion.py', '--cfg-path', '/tmp/tmp7elrv61d']
[2025-05-02T22:48:59.807+0000] {standard_task_runner.py:85} INFO - Job 26: Subtask ingest_events_lineups
[2025-05-02T22:48:59.907+0000] {logging_mixin.py:151} INFO - Changing /opt/airflow/logs/dag_id=statsbomb_full_ingestion/run_id=manual__2025-05-02T22:48:00.634424+00:00/task_id=ingest_events_lineups permission to 509
[2025-05-02T22:48:59.927+0000] {task_command.py:415} INFO - Running <TaskInstance: statsbomb_full_ingestion.ingest_events_lineups manual__2025-05-02T22:48:00.634424+00:00 [running]> on host e2d1066c2b98
[2025-05-02T22:49:00.086+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='statsbomb_full_ingestion' AIRFLOW_CTX_TASK_ID='ingest_events_lineups' AIRFLOW_CTX_EXECUTION_DATE='2025-05-02T22:48:00.634424+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-02T22:48:00.634424+00:00'
[2025-05-02T22:49:01.077+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895302.json introuvable, j’ignore.
[2025-05-02T22:49:01.505+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895302.json introuvable, j’ignore.
[2025-05-02T22:49:02.035+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895292.json introuvable, j’ignore.
[2025-05-02T22:49:02.480+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895292.json introuvable, j’ignore.
[2025-05-02T22:49:02.834+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895333.json introuvable, j’ignore.
[2025-05-02T22:49:03.206+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895333.json introuvable, j’ignore.
[2025-05-02T22:49:03.653+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895340.json introuvable, j’ignore.
[2025-05-02T22:49:04.120+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895340.json introuvable, j’ignore.
[2025-05-02T22:49:04.727+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895348.json introuvable, j’ignore.
[2025-05-02T22:49:05.231+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895348.json introuvable, j’ignore.
[2025-05-02T22:49:06.040+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895286.json introuvable, j’ignore.
[2025-05-02T22:49:07.258+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895286.json introuvable, j’ignore.
[2025-05-02T22:49:07.569+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895220.json introuvable, j’ignore.
[2025-05-02T22:49:07.915+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895220.json introuvable, j’ignore.
[2025-05-02T22:49:08.275+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895250.json introuvable, j’ignore.
[2025-05-02T22:49:08.585+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895250.json introuvable, j’ignore.
