[2025-05-03T00:06:57.422+0000] {logging_mixin.py:151} INFO - Changing /opt/airflow/logs/dag_id=statsbomb_full_ingestion/run_id=scheduled__2025-05-02T00:00:00+00:00/task_id=ingest_events_lineups permission to 509
[2025-05-03T00:06:57.483+0000] {logging_mixin.py:151} INFO - Changing /opt/airflow/logs/dag_id=statsbomb_full_ingestion/run_id=scheduled__2025-05-02T00:00:00+00:00/task_id=ingest_events_lineups permission to 509
[2025-05-03T00:06:57.519+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: statsbomb_full_ingestion.ingest_events_lineups scheduled__2025-05-02T00:00:00+00:00 [queued]>
[2025-05-03T00:06:57.532+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: statsbomb_full_ingestion.ingest_events_lineups scheduled__2025-05-02T00:00:00+00:00 [queued]>
[2025-05-03T00:06:57.533+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2025-05-03T00:06:57.550+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): ingest_events_lineups> on 2025-05-02 00:00:00+00:00
[2025-05-03T00:06:57.555+0000] {standard_task_runner.py:57} INFO - Started process 353 to run task
[2025-05-03T00:06:57.558+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'statsbomb_full_ingestion', 'ingest_events_lineups', 'scheduled__2025-05-02T00:00:00+00:00', '--job-id', '30', '--raw', '--subdir', 'DAGS_FOLDER/statsbomb_ingestion.py', '--cfg-path', '/tmp/tmpf1z690_m']
[2025-05-03T00:06:57.563+0000] {standard_task_runner.py:85} INFO - Job 30: Subtask ingest_events_lineups
[2025-05-03T00:06:57.618+0000] {logging_mixin.py:151} INFO - Changing /opt/airflow/logs/dag_id=statsbomb_full_ingestion/run_id=scheduled__2025-05-02T00:00:00+00:00/task_id=ingest_events_lineups permission to 509
[2025-05-03T00:06:57.630+0000] {task_command.py:415} INFO - Running <TaskInstance: statsbomb_full_ingestion.ingest_events_lineups scheduled__2025-05-02T00:00:00+00:00 [running]> on host c49192374739
[2025-05-03T00:06:57.720+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='statsbomb_full_ingestion' AIRFLOW_CTX_TASK_ID='ingest_events_lineups' AIRFLOW_CTX_EXECUTION_DATE='2025-05-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-02T00:00:00+00:00'
[2025-05-03T00:06:58.363+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895302.json introuvable, j’ignore.
[2025-05-03T00:06:58.699+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895302.json introuvable, j’ignore.
[2025-05-03T00:06:58.930+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895292.json introuvable, j’ignore.
[2025-05-03T00:06:59.137+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895292.json introuvable, j’ignore.
[2025-05-03T00:06:59.341+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895333.json introuvable, j’ignore.
[2025-05-03T00:06:59.528+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895333.json introuvable, j’ignore.
[2025-05-03T00:06:59.746+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895340.json introuvable, j’ignore.
[2025-05-03T00:07:00.055+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895340.json introuvable, j’ignore.
[2025-05-03T00:07:00.379+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895348.json introuvable, j’ignore.
[2025-05-03T00:07:00.573+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895348.json introuvable, j’ignore.
[2025-05-03T00:07:00.770+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895286.json introuvable, j’ignore.
[2025-05-03T00:07:00.976+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895286.json introuvable, j’ignore.
[2025-05-03T00:07:01.160+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895220.json introuvable, j’ignore.
[2025-05-03T00:07:01.365+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895220.json introuvable, j’ignore.
[2025-05-03T00:07:01.608+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895250.json introuvable, j’ignore.
[2025-05-03T00:07:01.822+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895250.json introuvable, j’ignore.
